Token,Index
1,"[['1001136', '1002299', '1003000', '1003284', '1004088', '1004956', '1007914', '1008145', '1009257', '1010362', '1013001', '1013129', '1014533', '1014561', '1015452', '1015584', '1016300', '1017143', '1019338', '1020459', '1020959', '1020961', '1021425', '1021615', '1021847', '1022060', '1022632', '1024217', '1026035', '1026425', '1027191', '1028270', '1028780', '1028916', '1031575', '1032945', '1036274', '1039487', '1040211', '1040771', '1041007', '1043815', '1044316', '1046172', '1046265', '1048537', '1049190', '1050349', '1051797', '1056733', '1056868', '1057244', '1058234', '1059336', '1059937', '1061367', '1062326', '1066165', '1066462', '1069071', '1069848', '1070441', '1071241', '1075743', '1076654', '1077847', '1079680', '1081422', '1087758', '1089517', '1220219', '1255598', '1255625', '1257365', '1258489', '1258490', '1263399', '1291809', '1292416', '1316622', '1321017', '1329959', '1330009', '1336330', '1388169', '1394364', '1396339', '1401425', '1401840', '1417905', '1418686', '1419841', '1427288', '1431880', '1433050', '1436348', '1437131', '1438461', '1439894', '1440468', '1440972', '1464442', '1464716', '1470159', '1476651', '1529893', '1596305', '1704006', '1731370', '1770782', '1786670', '1794620', '1858513', '1858576', '1867642', '1873231', '1874961', '1882933', '1918720', '1941558', '1948901', '1959786', '1968643', '1970428', '2009825', '2033081', '2062200', '2064450', '2068211', '2119843', '2123957', '2133556', '2143304', '2150240', '2194123', '2201813', '2240482', '2242461', '2242467', '2250587', '2257188', '2265995', '2275502', '2297697', '2297706', '2298149', '2309689', '2317974', '2336093', '2348372', '2380307', '2567698', '2567919', '2584971', '3010133', '3053207', '3066477', '3102324', '3131048', '3140801', '3187737', '3187750', '3191328', '3323987', '3326892', '3347997', '3615061', '3662581', '3662594', '3801097', '3865832', '3880832', '3901238', '4011670', '4067621', '4173403', '4742918', '5289756', '5317075', '5363767', '5385852'], ['1003000', '1004956', '1009257', '1013129', '1015452', '1017143', '1020959', '1021615', '1022632', '1026425', '1028780', '1032945', '1040211', '1043815', '1046265', '1050349', '1056868', '1059336', '1062326', '1069071', '1071241', '1077847', '1087758', '1255598', '1258489', '1291809', '1321017', '1336330', '1396339', '1417905', '1427288', '1436348', '1439894', '1464442', '1476651', '1704006', '1786670', '1858576', '1874961', '1941558', '1968643', '2033081', '2068211', '2133556', '2194123', '2242461', '2257188', '2297697', '2309689', '2348372', '2567919', '3053207', '3131048', '3187750', '3326892', '3662581', '3865832', '4011670', '4742918', '5363767']]"
1.0,"[['3191328'], []]"
1.2,"[['1358416'], []]"
1.5,"[['1006881'], []]"
10,"[['1002299', '1003000', '1003479', '1008145', '1014561', '1015699', '1021056', '1021847', '1022238', '1025723', '1027191', '1033778', '1033825', '1045201', '1046209', '1046265', '1059336', '1059419', '1061118', '1070685', '1077847', '1082387', '1204889', '1213945', '1263399', '1336968', '1344548', '1346815', '1400707', '1427302', '1431836', '1432596', '1436707', '1441241', '1442680', '1449351', '1458164', '1770782', '1777932', '1780565', '1819974', '1858513', '1903968', '1917078', '1919201', '2067299', '2081876', '2131415', '2160226', '2171321', '2243213', '2243692', '2295163', '2348372', '3067169', '3102324', '3162513', '3162527', '3181927', '3211779', '3344676', '3369793', '3608235', '3616310', '3662594', '3800166', '3864342', '3880832', '3901238', '3995799', '4173403', '4238362', '4264003', '4714734', '4741216', '4742918', '4885241', '4886245', '5275059', '5292912'], ['1003479', '1015699', '1022238', '1033778', '1046209', '1059419', '1077847', '1213945', '1344548', '1427302', '1436707', '1449351', '1777932', '1858513', '1919201', '2131415', '2243213', '2348372', '3162513', '3211779', '3608235', '3800166', '3901238', '4238362', '4741216', '4886245']]"
100,"[['1014825', '1033190', '1072438', '1077497', '1079680', '1082387', '1257365', '1291355', '1324985', '1464442', '1762869', '1775691', '1777823', '1781300', '1786387', '1873231', '1907199', '1919072', '1949338', '1970428', '2033081', '2052448', '2180619', '2243213', '2250587', '2253642', '2256039', '2380307', '2567698', '3066477', '3239824', '3609132', '3908032', '4112874', '4872671'], ['1072438', '1082387', '1324985', '1775691', '1786387', '1919072', '2033081', '2243213', '2256039', '3066477', '3908032']]"
10000,"[['2317973'], []]"
100SA9star,"[['3813669'], []]"
100cultural,"[['3344676'], []]"
101,"[['1008988'], []]"
1015,"[['3017857'], []]"
101999,"[['1014278'], []]"
102,"[['1394433'], []]"
102004,"[['1090043'], []]"
102008,"[['2052448'], []]"
103,"[['1418707', '2297697', '2297706'], ['2297706']]"
105,"[['1005521', '1036274', '1053759', '1069685', '1963310', '2339950'], ['1053759', '2339950']]"
1052011,"[['3071717'], []]"
108,"[['1008357'], []]"
109,"[['4173403'], []]"
10AI,"[['1082162'], []]"
10H5,"[['1013129'], []]"
10neruda,"[['2277795'], []]"
10senior,"[['1141406'], []]"
10seniornovel,"[['1321789'], []]"
11,"[['1007433', '1009257', '1013129', '1013208', '1016300', '1028404', '1039487', '1041007', '1043008', '1056461', '1071241', '1138986', '1221515', '1389960', '1420862', '1432596', '1473250', '1941301', '2035162', '2131415', '2136484', '2242461', '2242467', '2257188', '2317973', '2326403', '2345727', '2567698', '3066477', '3102324', '3609132', '3887826', '3995526', '4159088', '4171951', '5289756', '5292912', '5317075', '5363767'], ['1013129', '1028404', '1043008', '1138986', '1420862', '1941301', '2136484', '2257188', '2345727', '3102324', '3995526', '5289756', '5363767']]"
11.7,"[['3000997'], []]"
111,"[['1082154'], []]"
111book,"[['1032945'], []]"
113,"[['1008074'], []]"
11536120,"[['1057244'], []]"
11M,"[['1914636'], []]"
11copy,"[['1440885'], []]"
11frosh,"[['1803022'], []]"
12,"[['1011754', '1013225', '1034282', '1037954', '1041482', '1046175', '1046265', '1061563', '1062134', '1084336', '1221515', '1223575', '1369776', '1369777', '1440972', '1441869', '1449661', '1453210', '1529893', '1827702', '1873268', '1918734', '2042241', '2062200', '2119843', '2240482', '2253642', '2295163', '2340100', '2381950', '3010130', '3246904', '3266345', '3608208', '3995526', '4113090', '4238362', '4618225'], ['1034282', '1046175', '1062134', '1223575', '1440972', '1453210', '1873268', '2062200', '2253642', '2381950', '3266345', '4113090']]"
12010.05,"[['1829226', '3995526'], []]"
123,"[['1867642', '2042966'], []]"
12345,"[['1046265', '1882933', '2086633', '2133074', '2171321'], ['2086633']]"
12345Hikawa,"[['1440345'], []]"
12345Light,"[['1916726', '1938591'], []]"
12classics,"[['1007305'], []]"
13,"[['1012637', '1016523', '1025721', '1029159', '1045818', '1048007', '1058234', '1063190', '1065970', '1069848', '1082369', '1084336', '1180102', '1193821', '1329941', '1388169', '1421921', '1481371', '1898609', '2256438', '2257188', '2360269'], ['1025721', '1048007', '1065970', '1084336', '1329941', '1481371', '2257188']]"
1300s,"[['1019568'], []]"
13201002,"[['4010969'], []]"
1348,"[['1279212'], []]"
139,"[['1001193'], []]"
13WalterBenjamin,"[['1729284'], []]"
13novel,"[['1022060', '2062200'], []]"
14,"[['1034282', '1082334', '1322066', '1361258', '1391191', '2052596'], ['1322066', '2052596']]"
14920,"[['1005918'], []]"
14front,"[['1073349'], []]"
15,"[['1014278', '1016300', '1033190', '1035326', '1041482', '1051163', '1056868', '1059336', '1082406', '1082578', '1087758', '1090043', '1351652', '1361258', '1369776', '1370274', '1394253', '1424555', '1431836', '1440468', '1442678', '1873281', '1937357', '1963684', '1964044', '1985223', '2035179', '2038238', '2243213', '3616310'], ['1033190', '1051163', '1082406', '1090043', '1369776', '1424555', '1442678', '1963684', '2035179', '3616310']]"
150CM,"[['1475048'], []]"
150Krten,"[['1758767'], []]"
150cm,"[['1336968', '1344548', '1346815', '1475048', '1529893', '1758767', '1780565', '2003526'], ['1346815', '1758767']]"
150cm2007,"[['2003526'], []]"
150cmlatee,"[['1475048', '1758767'], []]"
150cmlifelifeJapan,"[['1344548'], []]"
1538,"[['2383005'], []]"
1567,"[['2061644'], []]"
1573,"[['1858410'], []]"
1587,"[['1041482'], []]"
15Travel2010,"[['4159088'], []]"
15shaking,"[['1917972'], []]"
16,"[['1013502', '1033190', '1331571', '1396339', '1418297', '1452610', '1453210'], ['1331571', '1452610']]"
1644,"[['1858410'], []]"
17,"[['1000445', '1002898', '1008145', '1008988', '1011754', '1012802', '1014578', '1016300', '1019568', '1021615', '1029791', '1030054', '1031740', '1034279', '1044203', '1046265', '1051193', '1062134', '1082154', '1082518', '1088472', '1257365', '1283273', '1321789', '1396339', '1437131', '1457306', '1469051', '1485495', '1596305', '1729284', '1759860', '1777932', '1796596', '1803022', '1805514', '1818347', '1851385', '1863930', '1882933', '1903968', '1914636', '1916726', '1917972', '1926103', '1938591', '1941301', '1965977', '2380307', '3864342'], ['1008145', '1012802', '1019568', '1030054', '1044203', '1062134', '1088472', '1321789', '1457306', '1596305', '1777932', '1805514', '1863930', '1914636', '1926103', '1965977']]"
1700s,"[['1007305'], []]"
1700sSocialTheory,"[['1277981'], []]"
18,"[['1003284', '1008988', '1011754', '1013208', '1015767', '1026425', '1034282', '1059419', '1059537', '1084336', '1221515', '1319345', '1346815', '1369776', '1441869', '1453210', '1459623', '1467776', '1474842', '1481371', '1529893', '1867064', '1873268', '1907739', '1918734', '1941558', '2042241', '2062200', '2082194', '2139305', '2243692', '2265312', '2295163', '2297706', '2297786', '3181927'], ['1011754', '1026425', '1059537', '1319345', '1441869', '1467776', '1529893', '1907739', '2042241', '2139305', '2295163', '3181927']]"
1800s,"[['2267630'], []]"
1810s,"[['1045926'], []]"
1813,"[['1401841'], []]"
1829,"[['1007433'], []]"
1831,"[['1024197'], []]"
1833Novellitt,"[['1031741'], []]"
1847,"[['1119522', '1141406'], []]"
1848,"[['1858576'], []]"
1856,"[['1083477'], []]"
1859,"[['1007772'], []]"
1862,"[['1865089'], []]"
1869,"[['1085470'], []]"
1870,"[['1046209'], []]"
1873,"[['1275608'], []]"
1880,"[['1205370'], []]"
1884,"[['1258498'], []]"
1885,"[['1152701'], []]"
1890,"[['1074841'], []]"
19,"[['1003148', '1008145', '1012242', '1013001', '1016523', '1021847', '1026686', '1029159', '1030200', '1031575', '1033190', '1036490', '1049190', '1049354', '1056733', '1059937', '1061367', '1064271', '1066462', '1070711', '1082387', '1084336', '1336968', '1344548', '1346815', '1358413', '1358416', '1358873', '1361264', '1367458', '1367964', '1368256', '1431836', '1441707', '1453210', '1475048', '1758767', '1761056', '1775691', '1780565', '1781120', '1781300', '1819974', '1859649', '1887754', '1965977', '1968643', '2003526', '2030664', '2042063', '2070012', '2071404', '2082194', '2131415', '2143732', '2171321', '2336093', '2584971', '2980812', '3187737', '3187750', '3315879', '3333989', '3335362', '3344676', '3394338', '3442373', '3547099', '3598313', '3672237'], ['1012242', '1021847', '1030200', '1036490', '1056733', '1064271', '1082387', '1344548', '1358416', '1367458', '1431836', '1475048', '1775691', '1781300', '1887754', '2003526', '2070012', '2131415', '2336093', '3187737', '3333989', '3394338', '3598313']]"
1904,"[['1001136'], []]"
1912,"[['1000280', '1213546'], []]"
1913,"[['1058661'], []]"
1915,"[['1427302'], []]"
1917,"[['1963684'], []]"
192005,"[['1059419'], []]"
1920s,"[['1807516'], []]"
1921,"[['1088065'], []]"
1923,"[['1449351'], []]"
1925,"[['1860750'], []]"
1928,"[['1449352'], []]"
1930s,"[['1008145', '1043815', '1818347', '1827374', '1903164', '3006581'], ['1818347', '3006581']]"
1931,"[['1082522'], []]"
1934,"[['1013416'], []]"
1939MysteryNLB2007,"[['1263399'], []]"
1940s,"[['1008145', '1090043', '1805514'], ['1805514']]"
19412008,"[['1805514'], []]"
1944novel,"[['2035179'], []]"
1945,"[['1018136'], []]"
1947realistic,"[['1008145'], []]"
1948,"[['1000280', '1082387'], []]"
1949,"[['1963684'], []]"
1950,"[['1059336'], []]"
1950s,"[['1082518', '2161892'], []]"
1951,"[['1082518'], []]"
1955,"[['1917972'], []]"
1957,"[['1789837'], []]"
195809,"[['3151990'], []]"
1959,"[['1255624'], []]"
1959II,"[['1789837'], []]"
1960,"[['1059336', '1254588', '1400707'], ['1400707']]"
1960s,"[['2160556'], []]"
1960sMarquez,"[['1786670'], []]"
1961,"[['1255624'], []]"
1962,"[['2160556'], []]"
1963,"[['1255625'], []]"
1966A,"[['1255625'], []]"
1967,"[['1002299', '1052828'], []]"
1968,"[['1061977', '1064828'], []]"
1969,"[['1013225', '1204889'], []]"
19692007,"[['2033081'], []]"
1969Italo,"[['1052360'], []]"
1970,"[['1008357', '1019568', '1029553'], ['1029553']]"
1970s,"[['1015767', '1041482', '1060068', '1394364', '2136484'], ['1060068']]"
1970sHikawa,"[['1863930'], []]"
1972,"[['1863930'], []]"
1973,"[['1019428'], []]"
1973Translation,"[['1019428'], []]"
1976,"[['1361264'], []]"
19762010,"[['1037954'], []]"
1979,"[['1016486', '1039752', '1255288', '2136484'], ['1255288']]"
1980,"[['1470133'], []]"
1980NorwegianKrten,"[['1047447'], []]"
1980s,"[['1020961', '1025753', '1037602', '1046265', '1062193', '1096790', '1140727', '1292416', '1400705', '1941301', '1963786', '2277795', '2360269', '4010969'], ['1037602', '1096790', '1400705', '2277795']]"
1981,"[['1040211'], []]"
1982,"[['1007305', '1017143', '1024197', '1382829'], ['1024197']]"
1982Myth,"[['1963786'], []]"
1983,"[['1867064'], []]"
1984,"[['1017143', '1045466', '1082387', '1092149', '1321789', '1389960', '4112874', '4742918', '5292912'], ['1082387', '1389960', '5292912']]"
1984LITERATURE,"[['1018136', '1400705', '1858576'], ['1858576']]"
1985,"[['1863930'], []]"
1987,"[['1046265', '1059419', '3864342'], ['3864342']]"
1988,"[['1020670', '1317301', '5275059', '5292912'], ['5275059']]"
1989,"[['1765512'], []]"
1989Comic,"[['1753798'], []]"
1989Litt,"[['1029553'], []]"
1990,"[['1019568', '1046209', '1060117', '1080309', '1959786', '2129427'], ['1060117', '2129427']]"
1990s,"[['1012561', '1017839', '1024217', '1026425', '1027191', '1419736', '1421921', '1921479', '1947471'], ['1024217', '1419736', '1947471']]"
1991,"[['1008145', '1012561'], []]"
1992,"[['1017839', '1028409', '1061118', '2170629'], ['1061118']]"
1992e,"[['1050339'], []]"
1992fictionA,"[['1205054'], []]"
1993,"[['1008357', '1043008', '1082150', '1918720', '2160556'], ['1082150']]"
1993Classics,"[['1007305'], []]"
1994,"[['1002299', '1007914', '1013416', '1019568', '1027247', '1064862', '1203258', '1221515', '1337297', '1401840'], ['1013416', '1064862', '1337297']]"
1995,"[['1011754', '1025336', '1044663', '1045247', '1049189', '1084973', '1255624', '1337297', '1369776', '1449351', '1948502'], ['1044663', '1084973', '1369776']]"
1996,"[['1007305', '1013267', '1013502', '1029553', '1030153', '1030366', '1036684', '1043008', '1051193', '1087758', '1205370', '1255625', '1330096', '1449348', '3547099'], ['1013502', '1030366', '1051193', '1255625', '3547099']]"
1997,"[['1000534', '1008988', '1009938', '1020961', '1025721', '1027191', '1039389', '1041007', '1041993', '1082150', '1090043', '1941301', '2160556'], ['1009938', '1027191', '1041993', '1941301']]"
199701,"[['1041482'], []]"
1997K28,"[['1427825'], []]"
1997Prosa,"[['1014578'], []]"
1998,"[['1001896', '1009938', '1010464', '1013369', '1019568', '1023048', '1028409', '1038744', '1039487', '1047719', '1057206', '1080309', '1082154', '1082369', '1201821', '1358416', '1873281'], ['1010464', '1023048', '1039487', '1080309', '1201821']]"
1998All,"[['1341035'], []]"
1998chinois,"[['1029791'], []]"
1999,"[['1001896', '1005521', '1020961', '1024217', '1036684', '1047851', '1070851', '1082138', '1082150', '1082162', '1083428', '1084919', '1204889', '1205054', '1358873', '1424555', '1452610', '1456034'], ['1020961', '1047851', '1082150', '1084919', '1358873', '1456034']]"
1999I,"[['1014578'], []]"
1999Sputnik,"[['1020959'], []]"
1999litt,"[['1024217'], []]"
1999revenge,"[['1084973'], []]"
19C,"[['1031741'], []]"
19Cown,"[['1255288'], []]"
19xx,"[['1047138'], []]"
19xxI,"[['1422833'], []]"
1Fiction,"[['1017143', '1036274', '1084336', '1770782', '1794620'], ['1084336']]"
1Fictionroad,"[['1917972'], []]"
1Harry,"[['1419841'], []]"
1IT,"[['1433050'], []]"
1Q84,"[['4742918', '4885241', '5385852'], ['5385852']]"
1Q842,"[['4885241'], []]"
1harry,"[['1041007'], []]"
1shu,"[['2230208'], []]"
1star,"[['2119843'], []]"
2,"[['1000280', '1003000', '1003479', '1005193', '1006881', '1007334', '1007914', '1009160', '1009459', '1011882', '1012203', '1012242', '1012747', '1013001', '1016300', '1016523', '1018153', '1021597', '1021847', '1022632', '1023048', '1023500', '1024217', '1024701', '1025176', '1025721', '1026317', '1026411', '1026425', '1026674', '1027191', '1028693', '1028916', '1029159', '1030153', '1030469', '1031818', '1032581', '1033190', '1033790', '1034108', '1034479', '1035614', '1036067', '1036243', '1038267', '1039487', '1039752', '1040771', '1041111', '1041550', '1043201', '1044316', '1046265', '1046385', '1047138', '1047447', '1049189', '1049219', '1049354', '1049584', '1051163', '1051363', '1054889', '1056461', '1056868', '1057197', '1057244', '1058234', '1059406', '1059937', '1062193', '1062326', '1063190', '1063245', '1065970', '1066462', '1069071', '1069628', '1072438', '1077528', '1083375', '1083762', '1085799', '1212453', '1225977', '1227838', '1257365', '1281622', '1291760', '1388169', '1400705', '1401840', '1419882', '1431836', '1432422', '1433640', '1433700', '1437131', '1439894', '1440101', '1440468', '1453210', '1464442', '1475048', '1596305', '1753798', '1772786', '1775691', '1781300', '1794620', '1794844', '1796596', '1822793', '1851385', '1853323', '1855343', '1858576', '1865089', '1914083', '1917078', '1918720', '1949338', '2003526', '2032117', '2036345', '2042966', '2052448', '2056749', '2057285', '2062430', '2118032', '2123957', '2131415', '2139305', '2149655', '2150240', '2180619', '2194123', '2214350', '2250587', '2253642', '2265312', '2271582', '2359003', '2361768', '2584971', '3009821', '3066477', '3140801', '3191328', '3259440', '3323987', '3373490', '3394338', '3608170', '3610550', '3626924', '3662581', '3880832', '3890174', '3995526', '4038164', '4618225', '4885241', '5385852'], ['1003479', '1007334', '1009459', '1012242', '1016300', '1021597', '1023048', '1024701', '1026317', '1026674', '1028916', '1030469', '1033190', '1034479', '1036243', '1039752', '1041550', '1046265', '1047447', '1049354', '1051363', '1056868', '1058234', '1062193', '1063245', '1069071', '1077528', '1085799', '1227838', '1291760', '1401840', '1432422', '1437131', '1440468', '1475048', '1772786', '1794620', '1822793', '1855343', '1914083', '1949338', '2036345', '2056749', '2118032', '2139305', '2180619', '2250587', '2271582', '2584971', '3140801', '3323987', '3608170', '3662581', '3995526', '4885241']]"
