Token,Index
09.2,"[['3344676', '3369600'], []]"
0902Novel,"[['1044663'], []]"
09082010Life,"[['1794844'], []]"
0910,"[['2068211', '3682204', '3699108'], ['3699108']]"
0911,"[['1057206', '3609132'], []]"
09B,"[['3908032'], []]"
09Chinese,"[['1346815'], []]"
09Foreign,"[['1017143', '1082518', '1794620', '1863930', '3124525'], ['1794620']]"
09Life,"[['2340100'], []]"
09Love,"[['2243213'], []]"
09M,"[['1059419'], []]"
09MatthewScudder,"[['1867064'], []]"
09O,"[['3373490'], []]"
09SummerBreak,"[['1017143', '1418297', '1876333'], ['1876333']]"
09Winter,"[['1482200'], []]"
09politics,"[['1003479'], []]"
0C,"[['1026686', '1049354'], []]"
